Time,Event
00:27:37,STRIKE 1: Phone detected
00:27:41,STRIKE 2: Phone detected
00:27:45,STRIKE 3: Phone detected
00:28:02,STRIKE 4: Multiple people detected
00:28:02,STRIKE 5: Phone detected
00:28:02,EXAM TERMINATED: Max warnings reached.
