Time,Event
01:08:39,STRIKE 1: Phone held steady for 4.0s
01:08:43,Looking away
01:08:56,STRIKE 2: Phone held steady for 4.0s
01:08:56,STRIKE 3: Multiple people detected
01:08:59,Looking away
01:08:59,Looking away
01:08:59,Looking away
01:08:59,Looking away
01:09:00,Looking away
01:09:00,Looking away
01:09:02,Looking away
01:09:02,Looking away
01:09:03,Looking away
01:09:03,Looking away
01:09:03,Looking away
01:09:03,Looking away
01:09:03,Looking away
01:09:13,STRIKE 4: Phone held steady for 4.0s
01:09:17,STRIKE 5: Phone held steady for 4.0s
01:09:17,EXAM TERMINATED: Max warnings reached.
